,brand,model,year,Energy,gear_box,Trim,price
18445,PEUGEOT,208,2022,Diesel,Manuelle,BlueHDi 100 S&S BVM6 Allure Pack,24990
18446,TOYOTA,Corolla,2019,Hybride,Automatique,Touring Spt 122h Design,24990
18447,VOLVO,Xc40,2022,Hybride,Robotisée,T5 Recharge 180 + 82ch Ultimate DCT 7,59900
18448,VOLVO,Xc40,2022,Essence,Robotisée,B3 163ch Plus DCT 7,45990
18449,TOYOTA,Aygo,2020,Essence,Manuelle,1.0 VVT-i 72ch x-play 5p MY20,11990
18450,TOYOTA,Rav4,2019,Hybride,Automatique,Hybride 218ch Dynamic 2WD,33990
18451,KIA,Sportage,2019,Diesel,Robotisée,1.6 CRDi 136ch ISG GT Line Premium 4x2 DCT7,24900
18452,ALFA ROMEO,Stelvio,2018,Diesel,Automatique,2.2 150 ch AT8 Business,25990
18453,VOLKSWAGEN,Touran,2018,Diesel,Manuelle,1.6 TDI 115 BMT 7pl Connect,26990
18454,AUDI,Q5,2022,Electrique,Automatique,Sportback 50 TFSIe 299 S tronic 7 Quattro Avus,89225
18455,AUDI,A3,2022,Essence,Automatique,S3 Sportback TFSI 310 S tronic 7 Quattro,78000
18456,PEUGEOT,2008,2021,Essence,Manuelle,1.2 PureTech 130ch S&S Allure,25989
18457,HYUNDAI,Santa Fe,2020,Diesel,Automatique,Santa Fé 2.2 CRDi 202 DCT-8 Executive,42999
18458,OPEL,Crossland X,2019,Essence,Manuelle,1.2 83 ch Edition,14499
18459,HYUNDAI,I20,2020,Essence,Manuelle,1.2 75 Initia,12990
18460,OPEL,Corsa,2018,Essence,Manuelle,1.4 90 CH,11900
18461,PEUGEOT,208,2022,Electrique,Automatique,e-208 136ch GT Pack,31970
18462,PEUGEOT,Partner,2020,Diesel,Manuelle,Standard 650kg BlueHDi 75ch Premium,16770
18463,BMW,X1,2018,Diesel,Automatique,sDrive 18d 150 ch BVA8,27990
18464,VOLKSWAGEN,Polo,2022,Essence,Robotisée,1.0 TSI 95ch R-Line DSG7,24500
18465,PEUGEOT,5008,2019,Essence,Manuelle,1.2 PureTech 130ch S/S GT Line GPS Camera Radar Av/Ar Car Play,30999
18466,PEUGEOT,308,2022,Diesel,Automatique,SW 1.5 BlueHDi 130ch S&S Allure Pack EAT8,33770
18467,CITROËN,C3,2021,Diesel,Manuelle,1.5 BlueHDi 100ch S&S C-Series E6.d,18990
18468,CITROËN,C3 Aircross,2019,Diesel,Manuelle,BlueHDi 100ch S&S Feel E6.d-TEMP,15990
18469,PEUGEOT,Expert,2020,Diesel,Automatique,Fg Long 2.0 BlueHDi 180ch S&S Premium EAT8,28990
18470,TOYOTA,Aygo,2022,Essence,Manuelle,1.0 VVT-i 72ch x-play 5p MY21,14980
18471,MINI,Mini,2019,Essence,Manuelle,Cooper 136ch Heddon Street Euro6d-T,22990
18472,RENAULT,Twingo,2021,Essence,Manuelle,1.0 SCe 65ch Zen - 21,12490
18473,MINI,Mini,2019,Essence,Robotisée,Cooper 136ch Heddon Street BVA7 Euro6d-T,24990
18474,MINI,Mini,2019,Essence,Manuelle,5 Portes One 102ch Euro6d-T,20690
18475,BMW,X3,2021,Diesel,Automatique,xDrive20d 190ch M Sport,52990
18476,MINI,Countryman,2019,Diesel,Manuelle,One D 116ch Longstone 109g Tpano/ouvrant GPS Camera,25499
18477,BMW,X3,2021,Electrique,Automatique,i M sport 286ch Impressive,64990
18478,MINI,Clubman,2020,Essence,Robotisée,One 102ch Canonbury BVA7,25990
18479,MINI,Countryman,2019,Essence,Robotisée,Cooper 136ch Longstone BVA7 122g,29999
18480,BMW,Serie 2,2019,Hybride,Automatique,Série 2 ActiveTourer 225xeA 224ch Sport,29990
18481,BMW,I3,2020,Electrique,Automatique,170ch 120Ah iLife Atelier,27999
18482,VOLKSWAGEN,Golf,2020,Essence,Automatique,2.0 TSI 245 DSG7 GTI,40290
18483,AUDI,A1,2021,Essence,Manuelle,Sportback 30 TFSI 110 ch BVM6 S Line,31990
18484,AUDI,Tt,2019,Essence,Automatique,Roadster 40 TFSI 197 S tronic 7 S line,43990
18485,SKODA,Karoq,2019,Diesel,Automatique,1.6 TDI 116 ch DSG7 Business,24490
18486,DACIA,Sandero,2019,Essence,Manuelle,TCe 90 Confort,11590
18487,RENAULT,Megane,2021,Diesel,Manuelle,Mégane IV Berline Blue dCi 115 Intens,21490
18488,RENAULT,Clio,2019,Essence,Manuelle,TCe 100 Zen,14590
18489,RENAULT,Kangoo,2021,Diesel,Manuelle,Blue dCi 95 Intens,24900
18490,RENAULT,Talisman,2019,Diesel,Automatique,Blue dCi 160 EDC Business,25980
